2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
142,Chattanooga, Tennessee,"180,557","167,674",+7.68%,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,35°03′58″N 85°14′54″W﻿ / ﻿35.0660°N 85.2484°W﻿ / 35.0660; -85.2484﻿ (Chattanooga),"Chattanooga is a city located in Hamilton County, southeastern Tennessee, along the Tennessee River bordering Georgia. With an estimated population of 179,139 in 2017, it is the fourth-largest city in Tennessee and one of the two principal cities of East Tennessee, along with Knoxville. Served by multiple railroads and Interstate highways, Chattanooga is a transit hub. Chattanooga lies 118 miles  northwest of Atlanta, Georgia, 112 miles  southwest of Knoxville, Tennessee, 134 miles  southeast of Nashville, Tennessee, 102 miles  east-northeast of Huntsville, Alabama, and 147 miles  northeast of Birmingham, Alabama.","37341, 37343, 37350, 37351, 37363, 37377, 37379, 37402, 37403, 37404, 37405, 37406, 37407, 37408, 37409, 37410, 37411, 37412, 37415, 37416, 37419,  37421"
143,Providence, Rhode Island,"179,335","178,042",+0.73%,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",41°49′23″N 71°25′08″W﻿ / ﻿41.8231°N 71.4188°W﻿ / 41.8231; -71.4188﻿ (Providence),"Providence is the capital and most populous city of the U.S. state of Rhode Island and is one of the oldest cities in the United States. It was founded in 1636 by Roger Williams, a Reformed Baptist theologian and religious exile from the Massachusetts Bay Colony. He named the area in honor of ""God's merciful Providence"" which he believed was responsible for revealing such a haven for him and his followers. The city is situated at the mouth of the Providence River at the head of Narragansett Bay.","02901–02912, 02918, 02919, 02940"
144,Newport News[m], Virginia,"178,626","180,719",−1.16%,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",37°04′34″N 76°31′19″W﻿ / ﻿37.0762°N 76.5220°W﻿ / 37.0762; -76.5220﻿ (Newport News),"Newport News is an independent city in the U.S. state of Virginia. As of the 2010 census, the population was 180,719. In 2013, the population was estimated to be 183,412, making it the fifth-most populous city in Virginia.",2360123609
145,Rancho Cucamonga, California,"177,751","165,269",+7.55%,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",34°07′24″N 117°33′51″W﻿ / ﻿34.1233°N 117.5642°W﻿ / 34.1233; -117.5642﻿ (Rancho Cucamonga),"Rancho Cucamonga is a city of about 177,000 residents located just south of the foothills of the San Gabriel Mountains and Angeles National Forest in San Bernardino County, California, United States. About 37 miles  east of Downtown Los Angeles, Rancho Cucamonga is the 19th most populous city in southern California and the 27th state-wide. The city's seal, which centers on a cluster of grapes, alludes to the city's agricultural history including wine-making. The city's proximity to major transportation hubs, airports, and highways has attracted the business of several large corporations, including Coca-Cola, Frito-Lay, Big Lots, Mercury Insurance Group, Southern California Edison, and Amphastar Pharmaceuticals.","91701, 91729, 91730, 91737, 91739"
146,Santa Rosa, California,"177,586","167,815",+5.82%,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W﻿ / 38.4468; -122.7061﻿ (Santa Rosa),"Santa Rosa  is a city in and the county seat of Sonoma County, in California's Wine Country. Its estimated 2016 population was 175,155. Santa Rosa is the largest city in California's Redwood Empire,   Wine Country and the North Bay; the fifth most populous city in the San Francisco Bay Area after San Jose, San Francisco, Oakland, and Fremont; and the 28th most populous city in California.","95401–95407, 95409"
147,Oceanside, California,"176,080","167,086",+5.38%,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2",33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W﻿ / 33.2245; -117.3062﻿ (Oceanside),"Oceanside is a coastal city located on California's South Coast. It is the third-largest city in San Diego County, California. The city had a population of 167,086 at the 2010 census. Together with  Carlsbad and Vista, it forms a tri-city area. Oceanside is located just south of Marine Corps Base Camp Pendleton.","92049, 92051, 92052, 92054, 92056–92058"
148,Salem, Oregon,"173,442","154,637",+12.16%,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2",44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W﻿ / 44.9237; -123.0232﻿ (Salem),"Salem /ˈseɪləm/ is the capital of the U.S. state of Oregon, and the county seat of Marion County. It is located in the center of the Willamette Valley alongside the Willamette River, which runs north through the city. The river forms the boundary between Marion and Polk counties, and the city neighborhood of West Salem is in Polk County. Salem was founded in 1842, became the capital of the Oregon Territory in 1851, and was incorporated in 1857.","97301, 97302, 97303, 97304, 97305, 97306, 97308, 97309, 97310, 97311, 97312, 97313  97314"
149,Elk Grove, California,"172,886","153,015",+12.99%,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2",38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W﻿ / 38.4146; -121.3850﻿ (Elk Grove),"Elk Grove is a city in Sacramento County, California, located just south of the state capital of Sacramento. It is part of the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area. As of 2018, the population of the city was estimated at 173,702. The second-largest city in Sacramento County, Elk Grove was the fastest growing city in the U.S. between July 1, 2004, and July 1, 2005. The City of Elk Grove incorporated on July 1, 2000. It is a general law city with a council/manager form of government. One of Elk Grove's most significant aspects is the Elk Grove Unified School District, which is the city's largest employer. ","95624, 95757–95759"
150,Garden Grove, California,"172,646","170,883",+1.03%,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2",33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W﻿ / 33.7788; -117.9605﻿ (Garden Grove),"Garden Grove is a city in northern Orange County, California, United States, located 34 miles  southeast of the city of Los Angeles in the Los Angeles metropolitan area. The population was 170,883 at the 2010 United States Census. State Route 22, also known as the Garden Grove Freeway, passes through the city in an east-west direction. The western portion of the city is known as West Garden Grove.",92840–92846
151,Pembroke Pines, Florida,"172,374","154,019",+11.92%,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2",26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W﻿ / 26.0210; -80.3404﻿ (Pembroke Pines),"Pembroke Pines was officially incorporated on January 16, 1960. The city's name, Pembroke Pines, is traced back to Sir Edward Reed, a Member of Britain's Parliament for the County of Pembroke in 1874, who purchased and farmed land in the 1880s which today occupies much of what is now the nearby city of Dania Beach. The road put through his land came to be known as Pembroke Road.  When incorporating, the mayor  suggested the name Pembroke Pines because of the pine trees growing near Pembroke Road.","3302333029, 3333033332"
152,Peoria, Arizona,"172,259","154,065",+11.81%,175.7 sq mi,455.1 km2,934/sq mi,361/km2,33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W﻿ / 33.7862; -112.3080﻿ (Peoria),"Peoria /piˈɔːriə/ is a city in Maricopa and Yavapai counties in the State of Arizona. Most of the city is located in Maricopa County, while a tiny portion in the north is in Yavapai County. It is a major suburb of Phoenix. According to 2017 Census Bureau estimates, the population of the city is 168,181.  Peoria is currently the sixth largest city in Arizona for land area, and the ninth largest for population. It was named after Peoria, Illinois. The word ""peoria"" is a corruption of the Illini word for ""prairie fire."" It is the spring training home of the San Diego Padres and Seattle Mariners, who share the Peoria Sports Complex. In July 2008, Money magazine listed Peoria in its Top 100 Places to Live.","85345, 85381, 85382, 8538385373 85387 "
153,Eugene, Oregon,"171,245","156,185",+9.64%,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W﻿ / 44.0567; -123.1162﻿ (Eugene),"Eugene  is a city in the U.S. state of Oregon. It is at the southern end of the verdant Willamette Valley, near the confluence of the McKenzie and Willamette Rivers, about 50 miles  east of the Oregon Coast.","97401–97405, 97408, 97440"
154,Corona, California,"168,819","152,374",+10.79%,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W﻿ / 33.8620; -117.5655﻿ (Corona),"Corona is a city in Riverside County, California,  United States. As of the 2010 census, the city had a population of 152,374, up from 124,966 at the 2000 census. The cities of Norco and Riverside lie to the north and northeast, respectively, Chino Hills and Yorba Linda to the northwest, and the Cleveland National Forest and the Santa Ana Mountains to the southwest, and unincorporated areas of Riverside County line all of its other borders. Corona lies approximately 48 miles  southeast of Los Angeles and 95 miles  north-northwest of San Diego.",92877–92883
155,Cary[v], North Carolina,"168,160","135,234",+24.35%,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W﻿ / 35.7809; -78.8133﻿ (Cary),"The town's population was 135,234 as of the 2010 census , making it the largest town and seventh-largest municipality statewide. As of April 2018, the town's estimated population was 162,025, though Cary was still considered a town because that is how it was registered with the state. Cary is the second most populous incorporated town  in the United States.","2751127513, 27518, 27519"
156,Springfield, Missouri,"168,122","159,498",+5.41%,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W﻿ / 37.1942; -93.2913﻿ (Springfield),"Springfield's nickname is ""Queen City of the Ozarks"" and it is known as the ""Birthplace of Route 66"". It is home to three universities,  Missouri State University, Drury University, and Evangel University.",6580065899
157,Fort Collins, Colorado,"167,830","143,986",+16.56%,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W﻿ / 40.5482; -105.0648﻿ (Fort Collins),"Fort Collins is the Home Rule Municipality that is the county seat and the most populous municipality of Larimer County, Colorado, United States. Situated on the Cache La Poudre River along the Colorado Front Range, Fort Collins is located 56 mi  north of the Colorado State Capitol in Denver. With a 2016 estimated population of 161,000, it is the fourth most populous city in Colorado after Denver, Colorado Springs, and Aurora. Fort Collins is a midsize college city, home to Colorado State University.",80521–80528
158,Jackson, Mississippi,"164,422","173,514",−5.24%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W﻿ / 32.3158; -90.2128﻿ (Jackson),"Jackson, officially the City of Jackson, is the capital and most populous city of the U.S. state of Mississippi.  It is one of two county seats of Hinds County, along with Raymond, Mississippi.  The city of Jackson also includes around 3,000 acres comprising Jackson-Medgar Evers International Airport in Rankin County and a small portion of Madison County.  The city's population was estimated to be 165,072 in 2017, a decline from 173,514 in 2010.  The city sits on the Pearl River and is located in the greater Jackson Prairie region of Mississippi.",3920039299
159,Alexandria[m], Virginia,"160,530","139,966",+14.69%,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W﻿ / 38.8201; -77.0841﻿ (Alexandria),"Alexandria is an independent city in the Commonwealth of Virginia in the United States. As of the 2010 census, the population was 139,966, and in 2016, the population was estimated to be 155,810. Located along the western bank of the Potomac River, Alexandria is approximately 7 miles  south of downtown Washington, D.C.","22301  22315, 22320  22336"
160,Hayward, California,"159,620","144,186",+10.70%,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W﻿ / 37.6287; -122.1024﻿ (Hayward),"Hayward  is a city located in Alameda County, California in the East Bay subregion of the San Francisco Bay Area. With a 2014 population of 149,392, Hayward is the sixth largest city in the Bay Area and the third largest in Alameda County. Hayward was ranked as the 37th most populous municipality in California. It is included in the San Francisco–Oakland–Fremont Metropolitan Statistical Area by the US Census. It is located primarily between Castro Valley and Union City, and lies at the eastern terminus of the San Mateo–Hayward Bridge. The city was devastated early in its history by the 1868 Hayward earthquake. From the early 20th century until the beginning of the 1980s, Hayward's economy was dominated by its now defunct food canning and salt production industries.","94540–94546, 94552, 94557"
161,Lancaster, California,"159,053","156,633",+1.55%,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W﻿ / 34.6936; -118.1753﻿ (Lancaster),"Lancaster /ˈlæn.kæstər/ is a charter city in northern Los Angeles County, in the Antelope Valley of the western Mojave Desert in Southern California. As of 2013, Lancaster was the 31st largest city in California. Lancaster is part of a twin city complex with its southern neighbor Palmdale and together they are the principal cities within the Antelope Valley region.","93534–93536, 93539, 93584"
162,Lakewood, Colorado,"156,798","142,980",+9.66%,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W﻿ / 39.6989; -105.1176﻿ (Lakewood),"The urban/suburban development of the community known as Lakewood was begun in 1889 by Charles Welch and W.A.H. Loveland, who platted a 13-block area along Colfax Avenue west of Denver in eastern Jefferson County. Loveland, the former president of the Colorado Central Railroad, retired to the new community of Lakewood after many years of living in Golden."," 8021480215, 80227, 8022680228, 80232, 8023580236 80401 80123"
163,Clarksville, Tennessee,"156,794","132,929",+17.95%,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ / 36.5664; -87.3452﻿ (Clarksville),"It is the principal central city of the Clarksville, TN–KY metropolitan statistical area, which consists of Montgomery and Stewart counties in Tennessee, and Christian and Trigg counties in Kentucky.The city was founded in 1785 and incorporated in 1807, and named for General George Rogers Clark, frontier fighter and Revolutionary War hero, and brother of William Clark of the Lewis and Clark Expedition.",3704037044
164,Palmdale, California,"156,667","152,750",+2.56%,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ / 34.5910; -118.1054﻿ (Palmdale),Palmdale is a city in northern Los Angeles County in the U.S. state of California. The city lies in the Antelope Valley region of Southern California. The San Gabriel Mountains separate Palmdale from the city of Los Angeles to the south.,"93550–93552, 93590, 93591, 93599"
165,Salinas, California,"156,259","150,441",+3.87%,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ / 36.6902; -121.6337﻿ (Salinas),"Salinas /səˈliːnəs/ is the county seat and largest municipality of Monterey County, California. Salinas is an urban area located just outside the southern portion of the Greater Bay Area and  10 miles  east-southeast of the mouth of the Salinas River. The population was 157,218 as of 2016. The city is located at the mouth of the Salinas Valley roughly eight miles from the Pacific Ocean and has a climate more influenced by the ocean than the hot-summer interior. The majority of residents live in single-unit detached homes, built between 1950 and 2000, while one third of the housing stock has three or more units per structure. Salinas serves as the main business, governmental and industrial center of the region. The marine climate is ideal for the floral industry, grape vineyards, and vegetable growers. Salinas is known for its vibrant and large agriculture industry and being ""The Salad Bowl of the World"" as the hometown of writer and Nobel Prize in Literature laureate John Steinbeck, who based several of his novels there.","93901–93902, 93905–93907, 93912,  93915"
166,Springfield, Massachusetts,"155,032","153,060",+1.29%,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ / 42.1155; -72.5400﻿ (Springfield),"Springfield is a city in the state of Massachusetts, United States, and the seat of Hampden County. Springfield sits on the eastern bank of the Connecticut River near its confluence with three rivers: the western Westfield River, the eastern Chicopee River, and the eastern Mill River. As of the 2010 Census, the city's population was 153,060. As of 2018, the estimated population was 155,032, making it the third-largest city in Massachusetts, the fourth-most populous city in New England after Boston, Worcester, and Providence, and the 12th-most populous in the Northeastern United States. Metropolitan Springfield, as one of two metropolitan areas in Massachusetts , had a population of 692,942 as of 2010.","01101, 01103–01105, 01107–01109, 0111801119, 01128–01129, 01151"
167,Hollywood, Florida,"154,823","140,768",+9.98%,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ / 26.0310; -80.1646﻿ (Hollywood),"Joseph Young arrived in South Florida in 1920 in search to create his own “Dream City in Florida” . His vision included the beaches of the Atlantic ocean stretching westward with man made lakes, infrastructure, roads and the Intracoastal waterway. He wanted to include large parks, schools, churches, and golf courses; these were all industries and activities which were very important to Young's life. After Young spent millions of dollars on the construction of the city, he was elected as the first mayor in 1925. This new town quickly became home to northerners known as snowbirds. These snowbirds flee the north during the winter and then escape the south during the summer to avoid the harsh climates.  By 1960, Hollywood contained more than 2,400 hotel units along with the construction of 12,170 single family homes. Young bought up thousands of acres of land around 1920, and named his new town ""Hollywood by the Sea"" to distinguish it from his other real estate venture, ""Hollywood in the Hills"", in New York.","33004, 33009, 3301933021, 33023, 33024, 33312, 33314, 33316"
168,Pasadena, Texas,"153,219","149,043",+2.80%,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ / 29.6586; -95.1506﻿ (Pasadena),"Pasadena /ˌpæsəˈdiːnə/ is a city in the U.S. state of Texas, within the Houston–The Woodlands–Sugar Land metropolitan area. As of the 2010 U.S. Census, the city's population is 149,043, making it the seventeenth most populous city in the state of Texas, as well as the second-largest city in Harris County. The area was founded in 1893 by John H. Burnett of Galveston, who named the area after Pasadena, California, because of the perceived lush vegetation.","7750177507, 77059, 77586"
169,Sunnyvale, California,"153,185","140,081",+9.35%,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ / 37.3858; -122.0263﻿ (Sunnyvale),"Sunnyvale  is a city located in Santa Clara County, California. As of the 2010 United States Census, the population was 140,095.",94085–94090
170,Macon[w], Georgia,"153,095","91,351",+67.59%,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ / 32.8088; -83.6942﻿ (Macon),"Macon , officially Macon–Bibb County, is a consolidated city-county located in the state of Georgia, United States. Macon lies near the geographic center of the state, approximately 85 miles  south of Atlanta, hence the city's nickname ""The Heart of Georgia"".",31200–31299
171,Kansas City[x], Kansas,"152,958","145,786",+4.92%,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ / 39.1225; -94.7418﻿ (Kansas City),"Kansas City is the third-largest city in the State of Kansas, the county seat of Wyandotte County, and the third-largest city of the Kansas City metropolitan area.  Kansas City, Kansas is abbreviated as ""KCK"" to differentiate it from Kansas City, Missouri, after which it is named.  It is part of a consolidated city-county government known as the ""Unified Government"". Wyandotte County also includes the independent cities of Bonner Springs and Edwardsville. As of the 2010 census, the city had a population of 145,786 residents. It is situated at Kaw Point, which is the junction of the Missouri and Kansas rivers.","6610166113, 66115, 6611766119, 66160"
172,Pomona, California,"152,361","149,058",+2.22%,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ / 34.0585; -117.7611﻿ (Pomona),The area was originally occupied by the Tongva Native Americans.,91766–91768
173,Escondido, California,"152,213","143,911",+5.77%,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ / 33.1331; -117.0740﻿ (Escondido),"Escondido  is a city located in San Diego County's North County region, 30 miles  northeast of downtown San Diego. The city occupies a shallow valley ringed by rocky hills.  Incorporated in 1888, it is one of the oldest cities in San Diego County. The city had a population of 143,911 in the 2010 census.","92025–92027, 92029"
174,Killeen, Texas,"149,103","127,921",+16.56%,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ / 31.0777; -97.7320﻿ (Killeen),"Killeen is directly adjacent to the main cantonment of Fort Hood. Its economy depends on the activities of the post, and the soldiers and their families stationed there. It is known as a military ""boom town"" because of its rapid growth and high influx of soldiers.","76540, 76541, 76542, 76543, 76548, 76549"
175,Naperville, Illinois,"148,304","141,853",+4.55%,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ / 41.7492; -88.1620﻿ (Naperville),"Naperville  is a city in DuPage and Will counties in the U.S. state of Illinois. Located 28 miles  west of Chicago, Naperville was founded in 1831 and developed into the fifth-largest city in Illinois. As of the 2010 census, the city had a population of 141,853, which was estimated to have increased to 147,682  by 2017.",
176,Joliet, Illinois,"148,099","147,433",+0.45%,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ / 41.5177; -88.1488﻿ (Joliet),"Joliet  is a city in Will and Kendall counties in the U.S. state of Illinois, 30 miles  southwest of Chicago. It is the county seat of Will County and a major part of the southwest Chicago metropolitan area. At the 2010 census, the city was the fourth largest in Illinois, with a population of 147,433. A population estimate in 2018 put Joliet's population at 150,495, which would make it the 3rd largest city in Illinois if accurate.","60431, 60432, 60433, 60434, 60435, 60436, 60586"
177,Bellevue, Washington,"147,599","122,363",+20.62%,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ / 47.5979; -122.1565﻿ (Bellevue),"Bellevue  is a city in the Eastside region of King County, Washington, United States, across Lake Washington from Seattle. As the third-largest city in the Seattle metropolitan area, Bellevue has variously been characterized as an edge city, a suburb, boomburb, or satellite city. Its population was 122,363 at the 2010 census and 144,444 in a 2017 census estimate.",9800498009
178,Rockford, Illinois,"146,526","152,871",−4.15%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ / 42.2588; -89.0646﻿ (Rockford),"Rockford is a city in Winnebago County in the U.S. state of Illinois, in far northern Illinois.  Located on the banks of the Rock River, Rockford is the county seat of Winnebago County .  The largest city in Illinois outside of the Chicago metropolitan area, Rockford is the third-largest city in the state and the 171st most populous in the United States  According to 2010 U.S. Census Data, the City of Rockford had a population of 152,871, with an outlying metropolitan area population of 348,360. The City of Rockford's population is 147,051 as of 2017, down 4.1% since 2010.","6110161110, 61112, 61114, 61125, 61126"
179,Savannah, Georgia,"145,862","136,286",+7.03%,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ / 32.0025; -81.1536﻿ (Savannah),"Savannah  is the oldest city in the U.S. state of Georgia and is the county seat of Chatham County. Established in 1733 on the Savannah River, the city of Savannah became the British colonial capital of the Province of Georgia and later the first state capital of Georgia. A strategic port city in the American Revolution and during the American Civil War, Savannah is today an industrial center and an important Atlantic seaport. It is Georgia's fifth-largest city, with a 2017 estimated population of 146,444. The Savannah metropolitan area, Georgia's third-largest, had an estimated population of 389,494 in 2018.",3140131499
180,Paterson, New Jersey,"145,627","146,199",−0.39%,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ / 40.9148; -74.1628﻿ (Paterson),"Paterson is the largest city in and the county seat of Passaic County, New Jersey, United States. As of the 2010 United States Census, its population was 146,199, making it New Jersey's third-most-populous city. Paterson has the second-highest density of any U.S. city with over 100,000 people, behind only New York City. For 2017, the Census Bureau's Population Estimates Program calculated a population of 148,678, an increase of 1.7% from the 2010 enumeration, making the city the 174th-most-populous in the nation.","0750107505, 0750807514, 07522, 07524, 07533, 07538, 07543, 07544"
181,Torrance, California,"145,182","145,438",−0.18%,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ / 33.8350; -118.3414﻿ (Torrance),"Torrance is a U.S. city in the South Bay  region of Los Angeles County, California in the Los Angeles metropolitan area. Torrance has 1.5 miles  of beaches on the Pacific Ocean. Torrance has a moderate year-round climate with warm temperatures, sea breezes, low humidity, and an average rainfall of 12.55 inches per year.",90501–90510
182,Bridgeport, Connecticut,"144,900","144,229",+0.47%,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ / 41.1874; -73.1958﻿ (Bridgeport),"As of 2017, Bridgeport had an estimated population of 146,579, which made it the largest city in Connecticut and the fifth-most populous in New England. The Greater Bridgeport area is the 48th-largest urban area in the United States.","06601, 06602, 06604, 06605, 06606, 06607, 06608, 06610, 06650, 06673, 06699"
183,McAllen, Texas,"143,433","129,877",+10.44%,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ / 26.2322; -98.2464﻿ (McAllen),"From its settlement in 1904, the area around McAllen was largely rural and agricultural in character, but the latter half of the 20th century had steady growth, which the metropolitan area still experiences today. The introduction of the maquiladora economy and the North American Free Trade Association led to an increase in cross-border trading with Mexico.",7850178504
184,Mesquite, Texas,"142,816","139,824",+2.14%,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ / 32.7629; -96.5888﻿ (Mesquite),"According to legislative action, the city is the ""Rodeo Capital of Texas"". In 2016, Mesquite received a Playful City USA designation for the fourth year in a row. The city has been named a Tree City USA by the National Arbor Day Foundation for over 25 years. The city of Mesquite holds the 10th longest reign in all of Texas.","75149, 75150, 75181"
185,Syracuse, New York,"142,749","145,170",−1.67%,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W﻿ / 43.0410; -76.1436﻿ (Syracuse),"Syracuse  is a city in and the county seat of Onondaga County, New York, United States. It is the fifth-most populous city in the state of New York following New York City, Buffalo, Rochester, and Yonkers.",
186,Midland, Texas,"142,344","111,147",+28.07%,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W﻿ / 32.0246; -102.1135﻿ (Midland),"At the 2010 census, the population of Midland was 111,147, and a 2015 estimate gave a total of 132,950, making it the twenty-fourth most populous city in the state of Texas. Due to the oil boom in Midland, certain officials have given population estimates above 155,000. It is the principal city of the Midland, Texas Metropolitan Statistical Area, which includes all of Midland County, the population of which grew 4.6 percent, between July 1, 2011 and July 1, 2012, to 151,662, respectively, according to the U.S. Census Bureau.  The metropolitan area is also a component of the larger Midland−Odessa, Texas Combined Statistical Area, which had an estimated population of 295,987 on July 1, 2012. People in Midland are called Midlanders.",7970112
187,Pasadena, California,"141,371","137,122",+3.10%,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W﻿ / 34.1606; -118.1396﻿ (Pasadena),"Pasadena  is a city in Los Angeles County, California, United States, located 10 miles  northeast of Downtown Los Angeles.","91101–91110, 91114–91118, 91121, 91123–91126, 91129, 91182, 91184, 91185, 91188, 91189, 91199"
